symbol,address,decimal,order_size,err
RARE,0xba5bde662c17e2adff1075610382b9b691296350,18,,None
AURORA,0xaaaaaa20d9e0e2461697782ef11675f668207961,18,,None
JAM,0x23894dc9da6c94ecb439911caf7d337746575a72,18,,None
SDT,0x73968b9a57c6e53d41345fd57a6e6ae27d6cdb2f,18,,None
DEP,0x1a3496c18d558bd9c6c8f609e1b129f67ab08163,18,,None
HORD,0x43a96962254855f16b925556f9e97be436a43448,18,,None
WILD,0x2a3bff78b79a009976eea096a51a948a3dc00e34,18,,None
SHIBGF,0x505a84a03e382331a1be487b632cf357748b65d6,18,,None
QOM,0xa71d0588eaf47f12b13cf8ec750430d21df04974,18,,None
GUILD,0x83e9f223e1edb3486f876ee888d76bfba26c475a,18,,None
imgnAI,0xa735a3af76cc30791c61c10d585833829d36cbe0,9,,None
WIZ,0x603778e5e07e180e300bd10df7fa626313a206b2,4,,None
aWETH,0x030ba81f1c18d280636f32af80b9aad02cf0854e,18,,None
PDT,0x375abb85c329753b1ba849a601438ae77eec9893,18,,None
LIFE,0x6c936d4ae98e6d2172db18c16c4b601c99918ee6,18,,None
CRETH2,0x49d72e3973900a195a155a46441f0c08179fdb64,18,,None
ZOGI,0x7e80e4d7d5725499791cf8b17a4586f1f0672a0c,18,,None
MAXI,0x0d86eb9f43c57f6ff3bc9e23d8f9d82503f0e84b,8,,None
CTX,0x321c2fe4446c7c963dc41dd58879af648838f98d,18,,None
RVF,0xdc8af07a7861bedd104b8093ae3e9376fc8596d2,18,,None
XCHF,0xb4272071ecadd69d933adcd19ca99fe80664fc08,18,,None
DFX,0x888888435fde8e7d4c54cab67f206e4199454c60,18,,None
PHA,0x6c5ba91642f10282b576d91922ae6448c9d52f4e,18,,None
OPUL,0x80d55c03180349fff4a229102f62328220a96444,18,,None
renBTC,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,8,,None
CHESS,0xd6123271f980d966b00ca4fca6c2c021f05e2e73,18,,None
TIME,0x485d17a6f1b8780392d53d64751824253011a260,8,,None
ITGR,0xd502f487e1841fdc805130e13eae80c61186bc98,18,,None
FPIS,0xc2544a32872a91f4a553b404c6950e89de901fdb,18,,None
HIGH,0x71ab77b7dbb4fa7e017bc15090b2163221420282,18,,None
UKAN,0x49bc8340acd3521150d7ccd8a4a3510d2f5130ca,18,,None
MAGIC,0xb0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a,18,,None
BOTTO,0x9dfad1b7102d46b1b197b90095b5c4e9f5845bba,18,,None
QSP,0x99ea4db9ee77acd40b119bd1dc4e33e1c070b80d,18,,None
QUARTZ,0xba8a621b4a54e61c442f5ec623687e2a942225ef,18,,None
BTC2x-FLI,0x0b498ff89709d3838a063f1dfa463091f9801c2b,18,,None
VIDYA,0x3d3d35bb9bec23b06ca00fe472b50e7a4c692c30,18,,None
ZORA,0xd8e3fb3b08eba982f2754988d70d57edc0055ae6,9,,None
UST,0xa693b19d2931d498c5b318df961919bb4aee87a5,6,,None
RARI,0xfca59cd816ab1ead66534d82bc21e7515ce441cf,18,,None
QDT,0x9adc7710e9d1b29d8a78c04d52d32532297c2ef3,18,,None
yvBOOST,0x9d409a0a012cfba9b15f6d4b36ac57a46966ab9a,18,,None
